user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
#RoeshdienJaz,"Cape Town, South Africa",Creative | Integral Coach | Career Strategist | Leadership Development Specialist | SME: Integral EQ | NLP: Sales Psychology Training✨ 🇿🇦✨,2011-08-18 14:33:20+00:00,1488,4962,9247,False,2021-11-27 10:18:33+00:00,"#BlackCoffee @repost:

✨🎧🇿🇦🌍🇿🇦🎧✨

""Last night we celebrated. 📸™️.✨🇺🇲✨
#GRAMMYs https://t.co/U5sKQvv7k2 @ Cape Town, Western Cape https://t.co/Dw9LDP37uz","['BlackCoffee', 'GRAMMYs']",Instagram,False
TagTally,,"We watch tweets posted at popular @people and @organisations for top hashtags posted by their followers, we ensure your hashtags gets the right attention.",2020-03-01 18:52:51+00:00,32,0,1,False,2021-11-27 10:07:20+00:00,"Most tweeted Hashtags at coldplay:
Today: 
#GRAMMYs - 11314
#MyUniverse - 1425
#MyUniverseAMAs - 1360
Last 7 days:
#MyUniverseAMAs - 145453
#MyUniverse - 32259
#BTS_Butter - 27756","['GRAMMYs', 'MyUniverse', 'MyUniverseAMAs']",tagtally,False
局外人 ♐,OUTSIDE,Be You,2014-03-16 05:41:58+00:00,3817,3715,118493,False,2021-11-27 10:06:39+00:00,"Today is for @burnaboy 

#BurnaBoy #spotify #Grammys https://t.co/COVllnPOse","['BurnaBoy', 'spotify', 'Grammys']",Twitter for Android,False
𝐑𝐘𝐍 𝐏𝐓/,,nothing and no one.,2009-05-08 11:28:52+00:00,196,19,33238,False,2021-11-27 09:54:33+00:00,#Starcrossed is the AOTY. I said what I said. #GRAMMYs,"['Starcrossed', 'GRAMMYs']",Twitter for iPhone,False
5FM,South Africa,"Using the power of music to bring SA together
Radio, web, DSTV 805  
WhatsApp: 0825505151",2008-10-18 15:22:23+00:00,1185247,410,10268,True,2021-11-27 09:32:45+00:00,"#5Newz

@billieeilish did not come to play! 🔥 She's been nominated in 7 categories at the #GRAMMYs 🔥 
We love to see it! 🤩

Catch her at number 28 this week on #Top40on5 with @nickarchibaldza 🎶 https://t.co/ZggeyAWktg","['5Newz', 'GRAMMYs']",Twitter for Android,False
Max,Groupie Love,He loves me with every beat of his cocaine heart ♀,2021-05-02 07:45:51+00:00,870,368,19015,False,2021-11-27 09:26:50+00:00,masterpost buzzin babygate bts kpop carrd blackpink itzy harry styles louis tomlinson holivia stunt thread hamille haylor marvel babygate justin biber lana del rey taylor swift gaylor  stranger things #RedTaylorsVersion  #Dune  #GRAMMYs  #BTSxLateLate https://t.co/uiQDaVqqEe,,Twitter for iPhone,False
BangTanbombS07,INDIA,"BTS🇮🇳Army..💜
please follow us on insta@ bangtanbombs07
and subscribe to our youtube channel..
BORAHAE💜💜 #BTS #BTSINDIANARMY #BTSARMY",2021-01-11 18:27:11+00:00,22,23,9937,False,2021-11-27 09:25:59+00:00,"BTS 2021 Holiday Collection: Little Wishes Preview Cut - BTS 💜

#PermissiontoDance
 #BTSARMY #BTS_Butter   #RM #V #JJK #JHOPE #SUGA #JIN #JIMIN
#TokopediaxBTS #GRAMMYs #BTS #BTSinLA https://t.co/4jJvJ32QI1","['PermissiontoDance', 'BTSARMY', 'BTS_Butter', 'RM', 'V']",Twitter for Android,False
BangTanbombS07,INDIA,"BTS🇮🇳Army..💜
please follow us on insta@ bangtanbombs07
and subscribe to our youtube channel..
BORAHAE💜💜 #BTS #BTSINDIANARMY #BTSARMY",2021-01-11 18:27:11+00:00,22,23,9937,False,2021-11-27 09:24:56+00:00,"BTS 2021 Holiday Collection: Little Wishes Preview Cut - Jeon Jungkook 💜

#PermissiontoDance
 #BTSARMY #BTS_Butter   #RM #V #JJK #JHOPE #SUGA #JIN #JIMIN
#TokopediaxBTS #GRAMMYs #BTS #BTSinLA https://t.co/ybxWcSTYHF","['PermissiontoDance', 'BTSARMY', 'BTS_Butter']",Twitter for Android,False
BangTanbombS07,INDIA,"BTS🇮🇳Army..💜
please follow us on insta@ bangtanbombs07
and subscribe to our youtube channel..
BORAHAE💜💜 #BTS #BTSINDIANARMY #BTSARMY",2021-01-11 18:27:11+00:00,22,23,9937,False,2021-11-27 09:23:53+00:00,"BTS 2021 Holiday Collection: Little Wishes Preview Cut - Kim Taehyung 💜

#PermissiontoDance
 #BTSARMY #BTS_Butter   #RM #V #JJK #JHOPE #SUGA #JIN #JIMIN
#TokopediaxBTS #GRAMMYs #BTS #BTSinLA https://t.co/15um1U8CYR","['PermissiontoDance', 'BTSARMY', 'BTS_Butter']",Twitter for Android,False
BangTanbombS07,INDIA,"BTS🇮🇳Army..💜
please follow us on insta@ bangtanbombs07
and subscribe to our youtube channel..
BORAHAE💜💜 #BTS #BTSINDIANARMY #BTSARMY",2021-01-11 18:27:11+00:00,22,23,9937,False,2021-11-27 09:22:58+00:00,"BTS 2021 Holiday Collection: Little Wishes Preview Cut - Park Jimin 💜

#PermissiontoDance
 #BTSARMY #BTS_Butter   #RM #V #JJK #JHOPE #SUGA #JIN #JIMIN
#TokopediaxBTS #GRAMMYs #BTS #BTSinLA https://t.co/zE97VROjZC","['PermissiontoDance', 'BTSARMY', 'BTS_Butter']",Twitter for Android,False
